,clean_word,weight
845,bisik,2.0
846,bismillah,4.0
847,bisnis,3.0
848,bison,-3.0
849,bisu,-3.0
850,bisul,-4.0
851,biut,-5.0
852,blangko,-3.0
853,blaster,-3.0
854,blobor,-3.0
855,block,-4.0
856,blokir,-3.0
857,bloon,-3.0
858,blur,-4.0
859,bobol,-4.5
860,bobot,2.0
861,bobrok,-4.5
862,bobroq,-4.0
863,bocor,-4.0
864,bodo,-5.0
865,bodoamat,-4.0
866,bodoh,-3.0
867,bogem,-5.0
868,bogem mentah,-5.0
869,bogum,-3.0
870,bohong,-4.0
871,bokek,-5.0
872,bokep,-5.0
873,boker,-3.0
874,boksen,-5.0
875,bokser,-5.0
876,bolong,-3.0
877,bolos,-3.0
878,bolsak,-4.0
879,bom,1.0
880,bombastis,2.0
881,bonafide,3.0
882,bonceng,-3.0
883,bondong,-4.0
884,bondot,-5.0
885,bongak,-5.0
886,bonggol,-4.0
887,bongkah,-2.0
888,bongkak,-3.0
889,bongkar,-3.3333333333333335
890,bongkarbangkir,-5.0
891,bongkong,-3.0
892,bongok,-3.0
893,bongsor,-2.0
894,bonus,4.0
895,bonyok,5.0
896,booking,2.0
897,boong,-4.0
898,bopong,-2.0
899,borak,-4.0
900,boro,-2.0
901,borok,-5.0
902,borong,2.0
903,boros,-5.0
904,bos,3.0
905,bosan,-3.0
906,bosen,-4.0
907,bosman,-4.0
908,bosun,-4.0
909,bot,-2.0
910,boyak,-5.0
911,brengsek,-5.0
912,brokat,-4.0
913,broker,-3.0
914,bromocorah,-5.0
915,brutal,-5.0
916,bruto,-3.0
917,buah,2.0
918,buah bibir,-2.0
919,buah dada,-3.0
920,buah hati,-3.0
921,buah simalakama,-3.0
922,buai,3.0
923,bual,-4.0
924,buang,-3.2
925,buang air,-5.0
926,buang air besar,-5.0
927,buang air kecil,-3.0
928,buang hajat,-5.0
929,buang nyawa,-5.0
930,buangbuang air,-5.0
931,buari,-4.0
932,buas,-5.0
933,buat,1.6666666666666667
934,bubuh,4.0
935,bubuk,-5.0
936,bucu,-3.0
937,budak,4.0
938,budaya,-5.0
939,budek,-3.0
940,budi pekerti  baik,3.0
941,budiman,4.0
942,bufer,-3.0
943,bugar,4.0
944,buhuk,-4.0
945,bujang,4.0
946,bujuk,-3.0
947,buka,3.6666666666666665
948,buka mata,4.0
949,bukan,-3.0
950,bukan main,4.0
951,bukat,-4.0
952,bukti,-0.5
953,buku,-5.0
954,bulan,-1.0
955,bulanbulanan,-4.0
956,bulang,3.0
957,bulat,-3.0
958,bulat kata,3.0
959,buletin,-3.0
960,bulevar,-4.0
961,bully,-5.0
962,bulsak,-4.0
963,buluh,-3.0
964,bulus,-5.0
965,bumbu,5.0
966,bumbung,3.0
967,bumi,-3.0
968,buncah,-4.5
969,buncit,-3.0
970,bunda,3.0
971,bundak,-3.0
972,bundel,-5.0
973,bunduk,-3.0
974,bunga,3.0
975,bunga hati,-3.0
976,bungkam,1.0
977,bungkus,1.0
978,bungsu,-3.0
979,buni,-5.0
980,buntang,-4.0
981,buntet,-2.0
982,bunting,-3.0
983,buntu,-3.0
984,buntung,-5.0
985,buntut,1.0
986,bunuh,-5.0
987,bunyi,2.0
988,burai,-5.0
989,buram,-3.0
990,buras,-4.0
991,buru,-1.9999999999999998
992,buruburu,1.0
993,buruk,-4.666666666666667
994,busana,3.0
995,busuk,-5.0
996,busut,-4.0
997,buta,-3.0
998,buta hati,-4.0
999,butek,-3.0
1000,butuh,-1.0
1001,butut,-5.0
1002,buyung,4.0
1003,buyut,-3.0
1004,bye,-3.0
1005,caba,-4.0
1006,cabang,-4.0
1007,cabar,-4.0
1008,cabau,-3.5
1009,cabe,-2.5
1010,cabik,-3.0
1011,cabuh,-3.0
1012,cabul,-5.0
1013,cabut,-5.0
1014,cacat,-5.0
1015,cacau,-4.5
1016,caci,-5.0
1017,caci maki,-5.0
1018,cacing,-4.0
1019,cacing es,-4.0
1020,cacing gelanggelang,-4.0
1021,cacing gila,-4.0
1022,cacing gilig,-4.0
1023,cacing ginjal,-4.0
1024,cacing hati,-2.0
1025,cacing hitadid,-4.0
1026,cacing jantung,-4.0
1027,cacing kalung,-4.0
1028,cacing karawit,-3.0
1029,cacing kentar,-4.0
1030,cacing keremi,-4.0
1031,cacing palolo,-4.0
1032,cacing pipih,-4.0
1033,cacing pita,-4.0
1034,cacing rambut kuda,-4.0
1035,cacing tambang,-2.0
1036,cacing tanah,-4.0
1037,cadang,2.0
1038,cadas,-3.0
1039,cagar,-3.0
1040,cagil,-4.0
1041,cagun,-3.0
1042,cahari,-3.0
1043,cahaya,1.0
1044,caing,-3.0
1045,cair,-1.0
1046,cakap,2.0
1047,cakap angin,-4.0
1048,cakar,-4.0
1049,cakep,5.0
1050,cakus,-4.0
1051,calar,-3.0
1052,calit,-4.0
1053,campak,-4.333333333333333
1054,camping,-3.0
1055,campur,5.0
1056,campur aduk,-2.0
1057,camuk,-4.0
1058,canda,-3.5
1059,candal,-5.0
1060,candala,-5.0
1061,candang,2.0
1062,candrasa,3.0
1063,candu,3.0
1064,canggung,-4.0
1065,cangkul,-4.0
1066,cangkum,-3.0
1067,cantik,2.3333333333333335
1068,cantol,-3.0
1069,cantrik,3.0
1070,cantum,4.0
1071,capai,3.6666666666666665
1072,capak,-4.0
1073,cape,-3.5
1074,capek,4.0
1075,capit,-3.0
1076,caplak,-4.0
1077,caplok,0.0
1078,carak,-3.0
1079,caran,-3.5
1080,care,2.0
1081,cari,-3.3333333333333335
1082,cari akal,3.0
1083,cari ilmu,4.0
1084,cari jalan,3.0
1085,cariin,-2.0
1086,carik,-5.0
1087,caruk,-4.0
1088,carut,-5.0
1089,cash,2.0
1090,cat,1.0
1091,catak,-4.0
1092,catat,3.0
1093,catu,4.0
1094,catur,-3.0
1095,catut,-3.0
1096,cawis,2.0
1097,cebak,3.0
1098,cebik,1.0
1099,cebur,-5.0
1100,cecah,-3.0
1101,cecak,-3.0
1102,cecap,-5.0
1103,cecer,-3.0
1104,cecunguk,-5.0
1105,cedayam,2.0
1106,cedera,1.0
1107,cedih,-3.0
1108,cedok,3.0
1109,cegah,-2.3333333333333335
1110,cegak,1.0
1111,cegar,4.0
1112,cegat,-3.0
1113,cek,-4.0
1114,cekah,-4.0
1115,cekak,-3.3333333333333335
1116,cekam,-4.0
1117,cekang,-3.0
1118,cekat,2.0
1119,cekau,-2.0
1120,cekcok,-4.0
1121,cekel,4.0
1122,ceker,-3.0
1123,cekik,-4.0
1124,cekit,-4.0
1125,cekluk,-3.5
1126,cekok,-3.0
1127,ceku,-5.0
1128,cekuh,-3.0
1129,cekung,-4.0
1130,cela,-4.5
1131,celah,-3.0
1132,celaka,-5.0
1133,celampak,-3.6666666666666665
1134,celemotan,-4.0
1135,celengan,3.0
1136,celetuk,-5.0
1137,celih,-4.0
1138,celomes,-4.0
1139,celomok,-4.0
1140,celonok,-3.0
1141,celopar,-4.0
1142,celoteh,-4.0
1143,celuk,-3.0
1144,cema,-5.0
1145,cemar,-4.5
1146,cemas,0.6666666666666665
1147,cemat,-5.0
1148,cemberut,-4.0
1149,cembung,-3.0
1150,cemburu,-5.0
1151,cemeeh,-4.0
1152,cemeh,-4.0
1153,cemerlang,3.0
1154,cemeti dewa,-2.0
1155,cemomot,-4.0
1156,cemong,-4.0
1157,cemooh,-4.666666666666667
1158,cempala mulut,-5.0
1159,cempek,-4.0
1160,cempelung,-5.0
1161,cempeng,-4.0
1162,cempera,-5.0
1163,cempiang,3.0
1164,cemplung,-4.0
1165,cempung,-4.0
1166,cemuas,-4.0
1167,cena,-3.0
1168,cenangkas,3.0
1169,cencala,-5.0
1170,cendala,-5.0
1171,cendekia,3.0
1172,cendera,4.0
1173,cendera mata,4.0
1174,cenderung,-2.5
