,clean_word,weight
5505,nista,-4.75
1602,nista,4.0
1610,nyala,2.0
5518,nyala,-4.0
1613,nyaman,4.0
5520,nyaman,-4.0
1617,nyata,4.0
5528,nyata,-2.0
5559,oles,-4.0
1623,oles,4.0
5565,omong kosong,-4.0
1624,omong kosong,1.0
1636,otak,3.0
5585,otak,-2.0
1641,otot,4.0
5590,otot,-4.0
1645,padu,4.0
5601,padu,-3.0
5622,panas,-4.0
1661,panas,4.0
1689,papar,3.0
5643,papar,-3.0
1699,pasang,4.0
5661,pasang,-3.0
5664,pasuk,-3.0
1704,pasuk,2.0
5672,paut,-4.0
1710,paut,3.0
5685,pegang,-2.6666666666666665
1716,pegang,4.0
5709,peluk,-3.0
1728,peluk,4.0
1732,penat,4.0
5715,penat,-4.0
1733,pendam,4.0
5719,pendam,-5.0
5720,pendek,-3.0
1734,pendek,1.0
1737,pengaruh,3.0
5727,pengaruh,-4.0
5745,perang,-3.0
1742,perang,3.0
5787,pikir,-3.0
1786,pikir,1.0
5792,pilih,-2.0
1787,pilih,5.0
1788,pilin,3.0
5794,pilin,-5.0
1790,pindah,1.0
5799,pindah,-3.0
5816,pokok,-3.0
1803,pokok,3.0
5852,pukul,-3.5
1864,pukul,1.0
5869,pusing,-4.0
1877,pusing,4.0
5894,radikal,-4.0
1889,radikal,3.0
1892,ragam,4.0
5896,ragam,-4.0
1904,ramal,3.0
5908,ramal,-2.0
1911,rang,3.0
5924,rang,-3.0
5933,rangsang,-3.5
1913,rangsang,3.0
5938,rapat,-3.0
1917,rapat,1.0
5950,rasuk,-5.0
1921,rasuk,2.0
5957,rawat,-3.0
1927,rawat,3.0
5965,rebah,-3.0
1934,rebah,2.0
1935,rebut,1.0
5969,rebut,-3.0
5972,recok,-4.0
1936,recok,4.0
5976,refleksi,-3.0
1939,refleksi,3.0
1950,rela,5.0
5983,rela,-2.0
6003,renung,-3.0
1963,renung,3.0
1977,ria,3.5
6026,ria,-4.0
6030,ribut,-5.0
1981,ribut,4.0
6035,rindu,-2.0
1988,rindu,2.0
6089,rukun,-3.0
2003,rukun,3.0
2007,runcing,4.0
6095,runcing,-4.0
2009,rupa,3.6666666666666665
6102,rupa,-3.0
2011,rusak,3.0
6105,rusak,-4.0
6107,rusuh,-4.5
2012,rusuh,1.0
2015,sadar,2.3333333333333335
6120,sadar,-3.0
2017,sagang,4.0
6128,sagang,-3.0
6148,sama,-3.0
2034,sama,2.75
2037,sambat,4.5
6153,sambat,-3.0
2043,sandar,3.5
6164,sandar,-4.0
2045,sangga,4.0
6168,sangga,-3.0
